,^BVSP,TAEE11.SA,PETR4.SA,BBDC4.SA,BBAS3.SA,GGBR4.SA,ITSA4.SA,VALE3.SA,USIM5.SA,B3SA3.SA
2015-08-13,48010.0,19.690000534057617,9.5,11.430597305297852,19.450000762939453,5.679999828338623,5.388123989105225,18.479999542236328,3.559999942779541,3.5666658878326416
2015-08-14,47508.0,19.56999969482422,9.300000190734863,11.369444847106934,19.299999237060547,5.599999904632568,5.373907089233398,18.200000762939453,3.4700000286102295,3.5266659259796143
2015-08-17,47217.0,19.450000762939453,9.149999618530273,11.176583290100098,18.979999542236328,5.730000019073486,5.338365077972412,18.010000228881836,3.5,3.483333110809326
2015-08-18,47451.0,19.739999771118164,8.989999771118164,11.402373313903809,19.6200008392334,5.619999885559082,5.295714855194092,17.420000076293945,3.359999895095825,3.5766661167144775
2015-08-19,46588.0,19.579999923706055,8.739999771118164,11.058984756469727,18.40999984741211,5.420000076293945,5.217523097991943,16.84000015258789,3.2300000190734863,3.5399999618530273
2015-08-20,46649.0,19.200000762939453,8.6899995803833,10.997833251953125,18.600000381469727,5.289999961853027,5.203307151794434,17.170000076293945,3.1500000953674316,3.613332986831665
2015-08-21,45720.0,19.0,8.300000190734863,10.875531196594238,18.559999465942383,5.159999847412109,5.160656929016113,16.700000762939453,3.069999933242798,3.483333110809326
2015-08-24,44336.0,18.299999237060547,7.889999866485596,10.8284912109375,17.93000030517578,4.829999923706055,5.054030895233154,15.399999618530273,2.75,3.5
2015-08-25,44545.0,18.260000228881836,7.849999904632568,10.635628700256348,17.700000762939453,4.53000020980835,5.061140060424805,15.350000381469727,2.680000066757202,3.4000000953674316
2015-08-26,46038.0,18.280000686645508,8.130000114440918,11.327110290527344,18.56999969482422,4.880000114440918,5.359690189361572,15.899999618530273,2.890000104904175,3.619999885559082
2015-08-27,47715.0,18.6200008392334,8.920000076293945,11.646978378295898,19.229999542236328,5.460000038146973,5.523181915283203,17.690000534057617,3.059999942779541,3.7166659832000732
2015-08-28,47154.0,18.299999237060547,9.020000457763672,11.275365829467773,18.780000686645508,5.289999961853027,5.345473766326904,17.309999465942383,2.9700000286102295,3.6533329486846924
2015-08-31,46626.0,18.5,9.1899995803833,10.842602729797363,17.829999923706055,5.25,5.174872875213623,17.920000076293945,2.9800000190734863,3.5933330059051514
2015-09-01,45477.0,17.75,8.59000015258789,10.53214168548584,17.3700008392334,5.46999979019165,5.125114917755127,17.100000381469727,3.0999999046325684,3.450000047683716
2015-09-02,46464.0,17.799999237060547,8.819999694824219,10.715596199035645,17.399999618530273,6.019999980926514,5.160656929016113,18.110000610351562,3.25,3.4733328819274902
2015-09-03,47366.0,18.049999237060547,8.760000228881836,10.983720779418945,17.829999923706055,5.929999828338623,5.317039966583252,18.729999542236328,3.200000047683716,3.5133330821990967
2015-09-04,46498.0,17.559999465942383,8.510000228881836,10.518030166625977,17.040000915527344,6.070000171661377,5.189089775085449,18.239999771118164,3.4600000381469727,3.4000000953674316
2015-09-08,46762.0,17.299999237060547,8.640000343322754,10.762636184692383,17.100000381469727,6.269999980926514,5.217523097991943,18.93000030517578,3.7300000190734863,3.413332939147949
2015-09-09,46657.0,17.549999237060547,8.390000343322754,10.889641761779785,17.149999618530273,6.239999771118164,5.27439022064209,19.059999465942383,3.759999990463257,3.543333053588867
2015-09-10,46504.0,17.600000381469727,7.96999979019165,10.654444694519043,16.850000381469727,6.71999979019165,5.118007183074951,19.940000534057617,4.239999771118164,3.5999999046325684
